,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
345,3,55,5,72,7,49,42,19,1,39,1,23,9,6,5,4,5,5,15,0,49,49,33,47,40,75,11,10,1,33,15,42,34,17,0,0,0,0,0,30,0,53,31,48,30,0,45,43,0,0,15,48,57,1,49,2,3,1,57,52,40,32,43,43,8,0,5,10,3,2,52,0,1,8,5,10,2,0,4,4,0,12,10,10,8,21,8,26
346,22,38,5,38,7,24,69,4,2,23,3,49,10,7,3,2,2,5,15,0,49,5,33,47,40,45,30,1,35,33,8,21,62,17,0,0,14,30,11,1,23,45,0,41,2,22,25,23,10,14,15,48,57,46,45,2,3,2,81,51,44,46,43,37,6,13,36,2,4,3,7,0,9,1,9,10,3,4,4,4,17,9,10,10,8,68,12,104
347,19,21,0,25,7,7,3,55,1,46,1,50,8,6,3,1,5,3,12,0,6,49,33,47,40,53,39,1,12,33,20,12,46,18,0,8,9,25,11,10,16,10,17,6,19,14,38,37,5,14,15,48,57,45,40,6,3,1,75,52,49,54,44,51,51,20,51,11,0,0,0,75,1,8,6,4,3,3,2,2,50,10,9,11,30,84,50,3
348,20,34,5,30,9,65,3,35,1,18,1,0,8,4,1,2,3,5,12,0,49,49,33,1,22,55,37,1,1,44,22,14,15,21,13,0,0,34,11,11,20,17,5,28,18,18,4,0,15,19,0,31,18,1,0,2,3,0,57,52,21,30,32,36,20,18,56,2,1,4,7,50,1,1,1,5,3,4,4,4,50,10,9,11,8,87,38,286
349,21,53,4,38,7,37,69,52,2,1,2,39,8,5,3,2,5,4,29,29,24,3,5,24,3,87,35,0,14,15,51,16,36,21,2,17,18,5,12,6,24,36,20,0,11,15,18,16,15,15,15,48,57,40,8,2,2,3,80,51,49,54,44,51,51,20,0,3,1,4,56,49,8,9,8,29,3,3,4,1,17,10,9,10,8,38,50,267
350,18,35,5,30,7,10,23,57,2,55,0,50,6,1,1,2,5,5,3,0,31,49,33,47,40,40,23,1,29,45,33,18,34,10,2,5,10,21,0,30,0,53,31,48,30,0,45,43,0,0,6,39,24,46,0,2,1,2,33,31,49,54,44,51,51,20,0,3,2,1,7,34,6,5,7,0,3,4,4,4,50,0,9,12,8,76,50,35
351,17,11,0,20,7,12,12,58,0,55,0,50,6,0,1,1,4,5,22,25,25,36,33,33,33,36,48,1,12,48,53,34,34,21,0,0,0,0,11,10,16,5,0,6,19,14,4,6,3,15,2,48,24,43,0,6,3,0,2,12,31,42,22,17,51,14,55,22,0,0,0,43,8,2,2,0,4,3,2,2,50,8,9,12,8,63,43,302
352,3,26,1,30,6,19,13,10,1,6,1,2,12,6,3,3,3,5,22,13,24,1,24,38,28,36,29,9,16,26,36,23,34,12,0,13,0,30,12,0,22,43,0,39,3,11,14,16,16,15,2,40,24,43,0,8,3,0,59,21,5,54,23,29,33,14,0,2,2,1,7,43,8,3,3,1,1,3,3,2,50,12,0,12,8,63,15,16
353,20,12,0,16,7,7,2,14,2,9,35,7,8,6,5,2,4,2,31,0,27,49,20,12,28,36,45,5,14,12,42,5,34,21,0,0,3,0,1,3,11,36,17,1,30,0,45,43,0,1,6,45,24,42,30,3,3,0,58,37,9,38,20,14,38,1,14,11,4,3,0,43,5,6,4,0,2,2,2,2,50,9,9,12,54,63,26,135
354,21,45,0,41,7,13,6,11,67,2,57,22,7,4,4,2,5,5,31,13,24,3,30,2,28,60,23,9,21,26,42,18,53,15,0,0,9,34,10,6,24,17,0,16,3,11,24,18,0,14,2,5,38,42,30,2,6,1,58,15,9,16,29,28,38,13,33,3,4,3,0,49,6,6,7,0,3,3,2,2,50,9,9,12,54,91,26,119
355,16,8,0,16,7,5,71,58,0,55,0,50,1,1,1,1,5,2,31,2,7,49,2,2,28,36,45,9,16,33,42,5,36,21,0,0,3,0,10,3,11,26,17,0,19,14,1,2,0,11,9,5,24,43,30,3,3,2,76,37,46,38,27,36,38,10,55,21,2,1,7,49,8,8,5,0,3,1,2,2,41,8,9,12,54,63,14,270
356,16,33,0,25,7,78,71,58,0,55,0,50,1,1,1,1,3,5,22,0,25,36,1,17,31,53,22,9,22,12,53,30,46,21,0,0,0,0,0,30,0,53,31,48,30,0,45,43,0,0,0,48,5,46,0,12,3,0,54,52,49,54,44,51,51,20,0,0,1,4,0,43,8,2,2,0,3,1,1,3,50,8,0,12,44,84,50,214
